article_id,source,article_title,article_url,date_published,country,region_department,locality,latitude,longitude,sector,actor_company,community_actor,event_type,environmental_issue,source_text_excerpt,extraction_method,notes,geocode_status,geocode_precision,geocode_query,geocode_display_name
elespectador:2YNQWLMFXVFI7JK4VZWQ2QT774,El Espectador,"Por primera vez, campesinos reciben concesión para conservar y usar el bosque amazónico",https://www.elespectador.com/ambiente/amazonas/por-primera-vez-campesinos-reciben-concesion-para-conservar-y-usar-el-bosque-amazonico/,2026-05-08,Colombia,Amazonas,,-1.305299,-71.465921,logging_deforestation,,,,biodiversity loss,"Este 8 de mayo, en Caquetá, fue entregada la primera Concesión Forestal Campesina del país. Estos son los detalles.",metadata + keyword rule,Premium/locked article — full body not scraped. | No event_type matched; manual review. | Author: Catalina Sanabria Devia | Section: Amazonas,ok,region,"Amazonas, Colombia","Amazonas, RAP Amazonía, Colombia"
elespectador:SR2NQJDK2JDETLJE4ZNWYSGHUA,El Espectador,Atacan con piedras a militares y queman carro de Policía en nueva asonada en Tolima,https://www.elespectador.com/judicial/atacan-con-piedras-a-militares-y-queman-carro-de-policia-en-nueva-asonada-en-tolima/,2026-05-07,Colombia,Tolima,,4.035579,-75.208664,mining,,,,illegal mining,"Los hechos ocurrieron en el municipio de Ataco (Tolima), cuando los uniformados adelantaban una operación contra la minería ilegal.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Judicial | Section: Judicial,ok,region,"Tolima, Colombia","Tolima, RAP (Especial) Central, Colombia"
elespectador:F74JNJLOTREMBHSODFPT6ALOBE,El Espectador,Solo falta la firma del presidente: Colombia aprueba ley para conocer el origen de la carne,https://www.elespectador.com/ambiente/amazonas/solo-falta-la-firma-del-presidente-colombia-aprueba-ley-para-conocer-el-origen-de-la-carne/,2026-05-06,Colombia,Amazonas,,-1.305299,-71.465921,logging_deforestation,,,,deforestation,"Con el fin de evitar la deforestación, que en 2025 superó las 72.000 hectáreas de bosque, esta ley busca seguirle el rastro al ganado.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Amazonas,ok,region,"Amazonas, Colombia","Amazonas, RAP Amazonía, Colombia"
elespectador:S5YFAVOYS5FYDC3NGQIKNLATNQ,El Espectador,Deforestación está empujando a la Amazonia al colapso: científicos hacen un nuevo llamado,https://www.elespectador.com/ambiente/amazonas/deforestacion-esta-empujando-a-la-amazonia-al-colapso-cientificos-hacen-un-nuevo-llamado/,2026-05-06,Colombia,Amazonas,,-1.305299,-71.465921,logging_deforestation,,,,deforestation,"Científicos hacen un nuevo llamado a frenar la deforestación en la Amazonia, pues la selva estaría cerca de convertirse en una sabana seca.",metadata + keyword rule,Premium/locked article — full body not scraped. | No event_type matched; manual review. | Author: Catalina Sanabria Devia | Section: Amazonas,ok,region,"Amazonas, Colombia","Amazonas, RAP Amazonía, Colombia"
elespectador:NH263452EFA2ZB62AODG53P4SQ,El Espectador,Envían a la cárcel a 11 personas que explotaban mina ilegal de oro en Cauca,https://www.elespectador.com/judicial/envian-a-la-carcel-a-11-personas-que-explotaban-mina-ilegal-de-oro-en-cauca/,2026-05-03,Colombia,Cauca,,2.715645,-76.662665,mining,,,enforcement_action,,Estas personas fueron capturadas en flagrancia en zona rural de Santander de Quilichao (Cauca).,metadata + keyword rule,Author: Redacción Judicial | Section: Judicial,ok,region,"Cauca, Colombia","Cauca, RAP Pacífico, Colombia"
elespectador:KCQRDCVEEZHBXNR3ZZBMAR5M7I,El Espectador,Proyecto minero de cobre en Putumayo reinicia exploración en el territorio,https://www.elespectador.com/ambiente/amazonas/proyecto-minero-de-cobre-en-putumayo-reinicia-exploracion-en-el-territorio/,2026-05-01,Colombia,Putumayo,,0.500009,-76.000009,mining,,,,,"Se trata del proyecto de exploración, y eventual explotación, de la empresa Libero Cobre. Este ha generado opiniones divididas en Mocoa.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Amazonas,ok,region,"Putumayo, Colombia","Putumayo, RAP Amazonía, Colombia"
elespectador:7EQBODB4DVH6DJI5RSVBDC36XY,El Espectador,"En 2025 el mundo perdió menos bosques tropicales que en 2024, pero estamos lejos de la meta",https://www.elespectador.com/ambiente/en-2025-el-mundo-perdio-menos-bosques-tropicales-que-en-2024-pero-estamos-lejos-de-la-meta/,2026-04-29,Brazil,Meta,,-20.852444,-41.114700,logging_deforestation,,,,deforestation,Global Forest Watch presentó sus hallazgos sobre pérdida de bosques tropicales en 2025. ¿Cómo le fue a Colombia?,metadata + keyword rule,Premium/locked article — full body not scraped. | No event_type matched; manual review. | Author: César Giraldo Zuluaga | Section: Ambiente,ok,amenity,"Meta, Brazil","Meta, 4, Rua Konrad Adenauer, Sumaré, Cachoeiro de Itapemirim, Espírito Santo, Região Sudeste, 29303-270, Brasil"
elespectador:TX36LPUNJRHHPISKYKQLLLVOPQ,El Espectador,La nueva plataforma sobre deforestación en Colombia: Chiribiquete y Tinigua en aprietos,https://www.elespectador.com/ambiente/amazonas/la-nueva-plataforma-sobre-deforestacion-en-colombia-chiribiquete-y-tinigua-en-aprietos/,2026-04-28,Colombia,Amazonas,,-1.305299,-71.465921,logging_deforestation,,,,deforestation,"MapBiomas Alerta, la nueva plataforma para monitorear la deforestación, ya muestra las afectaciones en Chiribiquete y otros PNN durante 2025",metadata + keyword rule,No event_type matched; manual review. | Author: Catalina Sanabria Devia | Section: Amazonas,ok,region,"Amazonas, Colombia","Amazonas, RAP Amazonía, Colombia"
elespectador:5RHFXFUYJFCMXNI6CVTGL55CYY,El Espectador,Corpoguajira ratifica su decisión: no habrá una nueva mina de carbón en La Guajira,https://www.elespectador.com/ambiente/corpoguajira-ratifica-su-decision-no-habra-una-nueva-mina-de-carbon-en-la-guajira/,2026-04-24,Colombia,Cesar,,9.333341,-73.500009,mining,,,legal,,Corpoguajira ratificó su decisión de negar la licencia ambiental una la mina de carbón a cielo abierto en el departamento.,metadata + keyword rule,Author: Redacción Ambiente | Section: Ambiente,ok,region,"Cesar, Colombia","Cesar, RAP Caribe, Colombia"
elespectador:6I35JHPESZGGDAL7ZQMTYNQUKI,El Espectador,Aquí tiene una buena razón para volcarse a proteger la Amazonia colombiana,https://www.elespectador.com/ambiente/amazonas/aqui-tiene-una-buena-razon-para-volcarse-a-proteger-la-amazonia-colombiana/,2026-04-22,Colombia,Amazonas,,-1.305299,-71.465921,logging_deforestation,,,,deforestation,"Si perdemos Tinigua, como está pasando, podría estar en aprietos la conexión de la Amazonia con los Andes, que es vital para todos.",metadata + keyword rule,No event_type matched; manual review. | Author: Sergio Silva Numa | Section: Amazonas,ok,region,"Amazonas, Colombia","Amazonas, RAP Amazonía, Colombia"
elespectador:LSUF6WL4WRHHNIFDRQXHVQWMXU,El Espectador,"Yuvelis Morales, la colombiana que ganó el Premio Goldman",https://www.elespectador.com/ambiente/yuvelis-morales-la-colombiana-que-gano-el-premio-goldman/,2026-04-20,Colombia,Magdalena,,10.580808,-74.068567,oil_gas,,,,,"Yuvelis Morales recibió el Premio Goldman por la defensa de su territorio, Puerto Wilches, en el Magdalena Medio, ante el fracking.",metadata + keyword rule,Premium/locked article — full body not scraped. | No event_type matched; manual review. | Author: Catalina Sanabria Devia | Section: Ambiente,ok,region,"Magdalena, Colombia","Magdalena, RAP Caribe, Colombia"
elespectador:4U3HYCTXKFGZTMK457BEKNXBPM,El Espectador,"Por su lucha contra el fracking, la colombiana Yuvelis Morales ganó el Premio Goldman",https://www.elespectador.com/ambiente/por-su-lucha-contra-el-fracking-en-santander-yuvelis-morales-gano-el-premio-goldman/,2026-04-20,Colombia,Santander,,7.000008,-73.250009,oil_gas,,,,,"La colombiana de 25 años fue seleccionada como una de las ganadoras del premio Goldman, también conocido como el “Nobel de medioambiente”.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Ambiente,ok,region,"Santander, Colombia","Santander, RAP Gran Santander, Colombia"
elespectador:IL2K7ZGFWBAGXM2FOGH2ICVTFU,El Espectador,Colombia está perdiendo un Parque Nacional Natural,https://www.elespectador.com/ambiente/amazonas/colombia-esta-perdiendo-un-parque-nacional-natural-en-la-amazonia-tinigua/,2026-04-19,Colombia,Amazonas,,-1.305299,-71.465921,protected_areas,,,,,El Parque Nacional Natural Tinigua es el más deforestado de todo el país. Lo estamos perdiendo y con él la conexión andino-amazónica.,metadata + keyword rule,No event_type matched; manual review. | Author: Sergio Silva Numa | Section: Amazonas,ok,region,"Amazonas, Colombia","Amazonas, RAP Amazonía, Colombia"
elespectador:SH74ZBDWGJHBZCC2DR7EHLCCFU,El Espectador,"Por las irregularidades en esta mina, decenas de campesinos llevan 200 días protestando",https://www.elespectador.com/ambiente/blog-el-rio/por-las-irregularidades-en-esta-mina-decenas-de-campesinos-llevan-200-dias-protestando/,2026-04-16,Bolivia,Santander,,-15.772151,-68.650858,mining,,,,,Habitantes de La Paz (Santander) se oponen a las actividades de una empresa que acumula una década de irregularidades.,metadata + keyword rule,Premium/locked article — full body not scraped. | No event_type matched; manual review. | Author: César Giraldo Zuluaga | Section: Blog El Río,ok,tourism,"Santander, Bolivia","Santander, Camino Sorata-Muñecas, Centro, Municipio Sorata, Provincia Larecaja, La Paz, Bolivia"
elespectador:JYEGMNV4IZDRZCJC6CKB7TCDGE,El Espectador,Así funciona el negocio en Chocó con madera ilegal del Clan del Golfo que estaría llegando a Europa,https://www.elespectador.com/colombia-20/conflicto/deforestacion-del-clan-del-golfo-en-choco-asi-opera-el-negocio-de-madera-ilegal-que-estaria-llegando-a-europa/,2026-04-04,Colombia,Chocó,,6.000008,-77.000009,logging_deforestation,,,,deforestation,Este diario conoció la ruta que recorre la mercancía desde el Bajo Atrato hasta el Viejo Continente.,metadata + keyword rule,No event_type matched; manual review. | Author: Natalia Ortega | Section: Conflicto,ok,region,"Chocó, Colombia","Chocó, RAP Pacífico, Colombia"
elespectador:I44PPQ3HQVFAXMYTQQFPSIZYOY,El Espectador,Este científico le sigue la pista al mercurio y le preocupa mucho lo que pasa en la Amazonia,https://www.elespectador.com/ambiente/amazonas/este-cientifico-le-sigue-la-pista-al-mercurio-y-le-preocupa-mucho-lo-que-pasa-en-la-amazonia/,2026-03-31,Colombia,,,4.099917,-72.908813,mining,,,pollution,mercury contamination,Un experto mundial en mercurio asegura que los pueblos indígenas de la Amazonia están entre los más afectados.,metadata + keyword rule,Premium/locked article — full body not scraped. | Author: Fernán Fortich | Section: Amazonas,ok,country,Colombia,Colombia
elespectador:QKXNZFZNCBHAPFHGTUB2TKFW4A,El Espectador,Países acuerdan eliminar amalgamas dentales con mercurio,https://www.elespectador.com/salud/paises-acuerdan-eliminar-amalgamas-dentales-con-mercurio/,2025-11-12,Colombia,,,4.099917,-72.908813,mining,,,,mercury contamination,La decisión se tomó en la COP6 del Convenio de Minamata sobre el Mercurio.,metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Salud | Section: Salud,ok,country,Colombia,Colombia
elespectador:XUFOQW5BZ5FXVNCMLHL3FA4ZDA,El Espectador,Relatores de la ONU manifiestan su preocupación por situación en el río Atrato,https://www.elespectador.com/ambiente/blog-el-rio/relatores-de-la-onu-manifiestan-su-preocupacion-por-situacion-en-el-rio-atrato/,2025-11-11,Colombia,Chocó,,6.000008,-77.000009,mining,,,legal,mercury contamination,"Es “profundamente preocupante” que el cumplimiento de la sentencia del río Atrato “siga siendo gravemente deficiente”, dicen los relatores.",metadata + keyword rule,Author: Redacción Ambiente | Section: Blog El Río,ok,region,"Chocó, Colombia","Chocó, RAP Pacífico, Colombia"
elespectador:4HXUFBJJV5DFNFXLBIPHTSVJGA,El Espectador,"La Amazonía ha alcanzado niveles críticos de mercurio, advierte informe",https://www.elespectador.com/ambiente/amazonas/la-amazonia-ha-alcanzado-niveles-criticos-de-mercurio-advierte-informe/,2025-11-06,Colombia,,,4.099917,-72.908813,mining,,,pollution,mercury contamination,"En las últimas dos décadas, la contaminación registrada en los ríos por este metal se ha intensificado y ha afectado sus grandes afluentes.",metadata + keyword rule,Author: Redacción Ciencia | Section: Amazonas,ok,country,Colombia,Colombia
mongabay:url-813c071e5c2a,Mongabay Latam,¿Seguiremos comiendo carne vacuna dentro de 50 años?,https://es.mongabay.com/2025/09/impacto-carne-medio-ambiente/,2025-09-27,,,,,,logging_deforestation,,,,deforestation,"Cuando la sequía se convirtió en un visitante perenne del Beatty Canyon Ranch, en Colorado, a fines de la década de 1990, Steve Wooten recuerda haberle dicho a su familia: “Tenemos que hacer algo distinto”. Entre 1997 y 2003, los Wooten, que han criado ganado vacuno en este paisaje árido desde 1929, tuvieron que vender […]",metadata + topic tags + keyword rule,"Topic tags: agricultura, amenazas-para-la-selva-tropical, bosques, bosques-tropicales, cambio-climatico, conservacion, deforestacion, ganaderia | No event_type matched; manual review. | Country not detected; manual review. | Author: Maria Angeles Salazar",no_location,,,
mongabay:url-b61e9a1ad182,Mongabay Latam,Ecuador: carreteras sin permisos ambientales ni consulta previa desatan deforestación en territorio achuar,https://es.mongabay.com/2025/09/ecuador-carreteras-sin-permisos-ambientales-desatan-violencia-deforestacion-territorio-achuar/,2025-09-16,Ecuador,,,-1.339767,-79.366697,logging_deforestation,,,consultation_dispute,deforestation,"Entre 2022 y 2025 se abrieron al menos 62 kilómetros de vías en territorio achuar, varias sin permisos ambientales ni estudios técnicos.",metadata + topic tags + keyword rule,"Topic tags: amazonia, america-del-sur, bosques, carreteras, deforestacion, ecuador, latinoamerica, medioambiente | Author: anacristinaalvarado",ok,country,Ecuador,Ecuador
mongabay:url-a7a99c6af65d,Mongabay Latam,"Panamá refuerza protección en el Tapón del Darién, pero la amenaza de deforestación sigue latente",https://es.mongabay.com/2025/09/darien-tapon-panama-deforestacion-proteccion/,2025-09-13,,Pará,,-4.749393,-52.897301,mining,,,violence,deforestation,"Panamá está destinando recursos para el Tapón del Darién, en medio de economías ilícitas y de criminalización contra comunidades indígenas.",metadata + topic tags + keyword rule,"Topic tags: agricultura, america-central, america-latina, bosques, conflicto-social, conservacion, deforestacion, infraestructura | Country not detected; manual review. | Author: Maria Angeles Salazar",ok,region,Pará,"Pará, Região Norte, Brasil"
mongabay:url-5609809d35b8,Mongabay Latam,"Perú: la minería ilegal acecha el área de conservación Panguana, símbolo de la supervivencia en la Amazonía",https://es.mongabay.com/2025/09/mineria-ilegal-acecha-panguana-amazonia-peru/,2025-09-09,Peru,,,-6.869970,-75.045851,mining,,,,deforestation,"El ACP Panguana, creada en 2011, está rodeada por la actividad ilegal de extracción de oro que se realiza en el río Yuyapichis.",metadata + topic tags + keyword rule,"Topic tags: america-del-sur, deforestacion, latinoamerica, mineria, mineria-ilegal, peru, pueblos-indigenas, tala-ilegal | No event_type matched; manual review. | Author: emiliadelfino",ok,country,Peru,Perú
mongabay:url-ce14a6c5a34c,Mongabay Latam,México: las raíces olvidadas del olivo en Hidalgo,https://es.mongabay.com/2025/09/mexico-raices-olvidadas-olivo-hidalgo/,2025-09-06,Mexico,Pará,,19.301293,-99.186375,agriculture,,,,climate impact,Comunidades en Hidalgo cultivan y procesan olivo para impulsar el desarrollo económico y revalorizar sus raíces indígenas.,metadata + topic tags + keyword rule,"Topic tags: agricultura, cambio-climatico, conservacion, latinoamerica, medioambiente, mexico, pueblos-indigenas, soluciones | No event_type matched; manual review. | Author: Dora Montero",ok,office,"Pará, Mexico","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad, Avenida Insurgentes Sur, Colonia Peña Pobre, Ciudad de México, Tlalpan, Ciudad de México, 14060, México"
mongabay:url-d129d8ae40b9,Mongabay Latam,Día Internacional de los Pueblos Indígenas: inteligencia artificial para monitorear y defender los territorios ancestrales en Latinoamérica,https://es.mongabay.com/2025/08/dia-internacional-pueblos-indigenas-inteligencia-artificial-monitorear-defender-territorios-latinoamerica/,2025-08-09,Peru,Pará,,-12.094179,-77.015213,mining,,,violence,deforestation,"Iniciativas en México, Honduras y Perú utilizan inteligencia artificial y otras herramientas tecnológicas para proteger territorios indígenas.",metadata + topic tags + keyword rule,"Topic tags: agricultura, biodiversidad, bosque, conservacion, crimen-organizado, defensores-ambientales, deforestacion, especies-amenazadas | Author: emiliadelfino",ok,office,"Pará, Peru","Institut de Recherche pour le Developpement, 455, Calle 17, El Palomar, San Isidro, Lima, Lima Metropolitana, Lima, 15036, Perú"
mongabay:url-2cc191880437,Mongabay Latam,Asesinato del defensor Quispe Huamán: resurgen críticas al mecanismo de protección en Perú y piden proteger a la familia,https://es.mongabay.com/2025/08/asesinato-defensor-quispe-huaman-peru/,2025-08-04,Peru,Madre de Dios,,-12.000000,-70.250000,mining,,,violence,illegal mining,Defensor ambiental Hipólito Quispe Huamán fue asesinado el 26 de julio en la carretera Interoceánica en Madre de Dios.,metadata + topic tags + keyword rule,"Topic tags: activistas-asesinados, agricultura, amazonia, ambientalistas-amenazados, america-del-sur, defensores-ambientales, latinoamerica, medioambiente | Author: emiliadelfino",ok,region,"Madre de Dios, Peru","Madre de Dios, Perú"
elespectador:K4KBFRILCBEH3B5VUZZK7GVVHM,El Espectador,Todos a la espera de la medida que detendría la minería de cobre en Jericó… ¿O no?,https://www.elespectador.com/ambiente/blog-el-rio/todos-a-la-espera-de-la-medida-que-detendria-la-mineria-de-cobre-en-jerico-o-no/,2025-06-22,Colombia,,,4.099917,-72.908813,mining,,,,,"Una resolución del Minambiente que está por salir, suspenderá temporalmente algunas actividades mineras. Hay incertidumbre en Jericó.",metadata + keyword rule,Premium/locked article — full body not scraped. | No event_type matched; manual review. | Author: César Giraldo Zuluaga | Section: Blog El Río,ok,country,Colombia,Colombia
mongabay:url-42860564d6f8,Mongabay Latam,Agricultores colombianos pasan del café al cacao con el aumento de la temperatura y los precios,https://es.mongabay.com/2025/05/agricultores-colombianos-cultivo-cacao/,2025-05-26,Colombia,,,4.099917,-72.908813,logging_deforestation,,,,climate impact,Agricultores colombianos pasan del café al cacao con el aumento de la temperatura y los precios. Los detalles aquí,metadata + topic tags + keyword rule,"Topic tags: agricultura, america-del-sur, bosques, calentamiento-global, cambio-climatico, colombia, latinoamerica | No event_type matched; manual review. | Author: Maria Angeles Salazar",ok,country,Colombia,Colombia
mongabay:url-ed9b81f9ffb5,Mongabay Latam,"Qué leer en Semana Santa | Un barco bajo sospecha, la historia de una secta expulsada y viaje a la zona del derrame de petróleo en Ecuador",https://es.mongabay.com/2025/04/que-leer-en-semana-santa-un-barco-bajo-sospecha-la-historia-de-una-secta-expulsada-y-viaje-a-la-zona-del-derrame-de-petroleo-en-ecuador/,2025-04-17,Ecuador,,,-1.339767,-79.366697,oil_gas,,,pollution,oil spill,"Estas son las tres historias más leídas en Bolivia, ECuador y México de las dóas últimas semanas en Mongabay Latam.",metadata + topic tags + keyword rule,"Topic tags: areas-naturales-protegidas, bolivia, contaminacion-por-petroleo, derrame-de-petroleo, ecuador, latinoamerica, medioambiente, mexico | Author: yvette",ok,country,Ecuador,Ecuador
mongabay:url-bb602e9a7653,Mongabay Latam,Bolivia: dos municipios en La Paz logran mantener sus territorios libres de minería y buscan extender su cruzada,https://es.mongabay.com/2025/04/bolivia-municipios-logran-mantener-territorios-libres-mineria/,2025-04-07,Bolivia,Beni,,-14.000000,-65.000000,mining,,,,,Municipios de Palos Blancos y Alto Beni han logrado que se aprueben leyes municipales y departamentales para que se frene la actividad minera.,metadata + topic tags + keyword rule,"Topic tags: agricultura, america-del-sur, bolivia, conservacion, latinoamerica, medioambiente, mineria, politicas-ambientales | No event_type matched; manual review. | Author: yvette",ok,region,"Beni, Bolivia","Beni, Bolivia"
elespectador:2SQCDPAKMZDPHMAPFMUUKPSIEU,El Espectador,Capturan a exdirector de autoridad ambiental amazónica por red de deforestación,https://www.elespectador.com/ambiente/amazonas/capturan-a-exdirector-de-autoridad-ambiental-de-la-amazonia-por-integrar-red-ilegal-de-deforestacion/,2025-04-03,Colombia,Amazonas,,-1.305299,-71.465921,logging_deforestation,,,enforcement_action,deforestation,La Fiscalía judicializó al exdirector de una CAR clave en la Amazonia por conformar una red que impulsó la tala ilegal de un área protegida.,metadata + keyword rule,Author: Redacción Ambiente | Section: Amazonas,ok,region,"Amazonas, Colombia","Amazonas, RAP Amazonía, Colombia"
mongabay:url-ddd67ebcc7e9,Mongabay Latam,Estas son las huellas del petróleo que dejó el derrame de Petroecuador en una de las provincias más pobres de Ecuador,https://es.mongabay.com/2025/04/huellas-petroleo-derrame-petroecuador-esmeraldas-ecuador/,2025-04-02,Ecuador,,,-1.339767,-79.366697,oil_gas,,,pollution,oil spill,Estas son las huellas del petróleo que dejó el derrame de Petroecuador en una de las provincias más pobres de Ecuador,metadata + topic tags + keyword rule,"Topic tags: agua, america-del-sur, contaminacion, derrame-de-petroleo, ecuador, latinoamerica, medioambiente, petroleo | Author: emiliadelfino",ok,country,Ecuador,Ecuador
mongabay:url-85eb9ade8876,Mongabay Latam,Dos derrames de petróleo en menos de una semana afectan a cientos de familias indígenas en Perú,https://es.mongabay.com/2025/02/dos-derrames-petroleo-afectan-cientos-familias-indigenas-peru/,2025-02-25,Peru,,,-6.869970,-75.045851,oil_gas,,,pollution,oil spill,El sábado 8 y el miércoles 12 de febrero se produjeron derrames de petróleo en la Amazonía norte del Perú.,metadata + topic tags + keyword rule,"Topic tags: amazonia, america-del-sur, contaminacion, derrame-de-petroleo, hidrocarburos, latianomerica, peru, petroleo | Author: geraldinesantos",ok,country,Peru,Perú
